gene,r_cnv_rna,p_cnv_rna,r_cnv_prot,p_cnv_prot,prot_att,prot_att_class
ADSL,0.507144127,1.91E-25,0.445112833,3.28E-19,0.062031294,a_not
FOXO1,0.148923725,0.004194976,0.08690141,0.223462199,0.062022315,a_not
ERAP2,0.111196381,0.032967677,0.049182544,0.376081796,0.062013837,a_not
KRT19,0.204027964,8.07E-05,0.142050712,0.009020668,0.061977252,a_not
EIF4G3,0.347469714,6.99E-12,0.285494579,2.33E-07,0.061975135,a_not
PAK2,0.572366779,2.07E-33,0.51047112,1.12E-25,0.061895659,a_not
FERMT3,0.035809255,0.493455452,-0.026085946,0.635275577,0.061895201,a_not
PSMD9,0.48031219,1.23E-22,0.418493974,5.96E-17,0.061818216,a_not
SLC38A2,0.195261716,0.00016366,0.133564579,0.086244247,0.061697137,a_not
TRIM36,0.228488415,9.56E-06,0.166887452,0.044825239,0.061600964,a_not
OAS3,0.192193818,0.000208072,0.130659827,0.012720219,0.06153399,a_not
BCL3,0.147679324,0.004526587,0.086194087,0.227267555,0.061485237,a_not
ABL2,0.281405022,3.99E-08,0.219956766,0.008073021,0.061448255,a_not
NAP1L1,0.449546486,1.05E-19,0.388125917,1.12E-14,0.06142057,a_not
ARHGAP44,0.235663595,4.88E-06,0.174251254,0.023462586,0.061412341,a_not
ACTN4,0.512248475,5.23E-26,0.450842716,7.99E-20,0.061405759,a_not
ZKSCAN1,0.346452394,8.12E-12,0.285201494,8.22E-07,0.0612509,a_not
DCBLD2,0.188181655,0.000283254,0.126977704,0.121521726,0.06120395,a_not
KIF20A,0.127076559,0.014713519,0.065902395,0.300287927,0.061174164,a_not
PIEZO1,0.205483974,7.16E-05,0.144321505,0.02830076,0.061162469,a_not
AGAP2,0.080386452,0.123724896,0.019263843,0.84387096,0.061122609,a_not
ALDOA,0.334724676,4.39E-11,0.273675413,9.59E-08,0.061049263,a_not
ALDH1L1,0.01907054,0.715391392,-0.04197489,0.516646396,0.06104543,a_not
GLUD1,0.493183392,5.94E-24,0.432144833,3.55E-18,0.061038559,a_not
LY6E,0.359709181,1.11E-12,0.298697634,2.01E-05,0.061011547,a_not
MXRA7,0.211865837,4.18E-05,0.150899971,0.019338725,0.060965866,a_not
PPM1G,0.440290227,7.00E-19,0.379458661,5.15E-14,0.060831566,a_not
CCDC90B,0.526502899,1.25E-27,0.465723338,1.56E-16,0.060779561,a_not
HIP1,0.307945475,1.59E-09,0.247199269,4.52E-06,0.060746206,a_not
TLN1,0.404580221,6.32E-16,0.34386859,1.19E-11,0.06071163,a_not
AIP,0.395931803,2.92E-15,0.335253818,5.20E-11,0.060677985,a_not
TIAM1,0.199586343,0.00011594,0.138922928,0.095620673,0.060663416,a_not
TP53I11,0.192138036,0.000208975,0.131505909,0.020347529,0.060632127,a_not
CYTH3,0.295802325,7.25E-09,0.235190459,0.002216795,0.060611865,a_not
IFIT2,0.134860572,0.009594371,0.074253434,0.205818282,0.060607138,a_not
NMT2,0.385707294,1.68E-14,0.325204589,9.08E-08,0.060502705,a_not
GRB10,0.187428817,0.000299923,0.126928946,0.065731984,0.060499871,a_not
HABP4,0.299159277,4.80E-09,0.238684295,0.000130456,0.060474981,a_not
NUSAP1,0.169898641,0.001068077,0.10950575,0.085895779,0.060392891,a_not
ELAVL1,0.512922107,4.40E-26,0.452602517,5.52E-20,0.06031959,a_not
NPEPL1,0.255552459,6.75E-07,0.195260025,0.000433746,0.060292433,a_not
CROT,0.222714854,1.62E-05,0.162495306,0.00477955,0.060219547,a_not
TBC1D10A,0.475538926,3.67E-22,0.415360259,1.62E-12,0.060178667,a_not
MRI1,0.444500466,2.97E-19,0.384338744,9.68E-13,0.060161722,a_not
ICAM5,0.187157562,0.00030615,0.127005409,0.225072301,0.060152153,a_not
RBM33,0.468572812,1.75E-21,0.40842995,1.11E-12,0.060142862,a_not
INSR,0.328949463,9.81E-11,0.268850847,4.85E-06,0.060098616,a_not
SLC2A3,0.164148598,0.001579523,0.104081992,0.214430945,0.060066606,a_not
CDYL2,0.008987918,0.863567202,-0.051034868,0.568800666,0.060022786,a_not
NDRG1,0.305979343,2.05E-09,0.246023897,1.84E-06,0.059955446,a_not
ABAT,0.236058995,4.70E-06,0.17622119,0.001121507,0.059837805,a_not
DCP1B,0.401729605,1.05E-15,0.341957407,7.07E-09,0.059772197,a_not
CRYL1,0.35380604,2.72E-12,0.294059568,1.03E-08,0.059746472,a_not
DPYSL5,0.123610248,0.017678056,0.0640077,0.452453944,0.059602549,a_not
CCDC6,0.411091947,1.94E-16,0.351510539,4.11E-12,0.059581409,a_not
TGFB1I1,0.037400156,0.474442946,-0.022160062,0.67647005,0.059560218,a_not
COMMD3,0.211046271,4.49E-05,0.151530327,0.008348419,0.059515944,a_not
PHRF1,0.487827166,2.13E-23,0.428337496,9.33E-13,0.059489669,a_not
IVD,0.499259208,1.36E-24,0.439792735,1.49E-18,0.059466473,a_not
BET1,0.381928259,3.16E-14,0.322464188,3.80E-08,0.059464071,a_not
C4orf27,0.456485116,2.43E-20,0.397112708,2.15E-12,0.059372408,a_not
S100A13,0.266894338,2.02E-07,0.207534454,7.80E-05,0.059359884,a_not
ITGB2,0.110882039,0.033469062,0.051527966,0.368249158,0.059354073,a_not
CCNA2,0.24813388,1.44E-06,0.188801732,0.006842294,0.059332148,a_not
ARHGAP5,0.39408437,4.02E-15,0.334759877,6.06E-09,0.059324494,a_not
TUBB3,0.246109865,1.76E-06,0.186803226,0.000418122,0.059306639,a_not
CALML3,0.022152817,0.671878757,-0.037151549,0.671161203,0.059304366,a_not
FSCN1,0.038371746,0.463031762,-0.020878219,0.689749803,0.059249965,a_not
GGH,0.3367108,3.31E-11,0.277613997,6.16E-08,0.059096803,a_not
TAX1BP3,0.280606273,4.37E-08,0.221522078,1.95E-05,0.059084195,a_not
TOM1L2,0.324104537,1.90E-10,0.265050712,3.63E-06,0.059053825,a_not
HAAO,0.164711578,0.001520989,0.105670738,0.101733512,0.05904084,a_not
TNKS1BP1,0.428531057,7.20E-18,0.369588778,2.54E-13,0.05894228,a_not
GLS,0.238128579,3.85E-06,0.179288439,0.000568484,0.05884014,a_not
FAM136A,0.331343294,7.04E-11,0.272508065,2.73E-07,0.058835229,a_not
NUDCD2,0.52706802,1.07E-27,0.468240508,6.58E-21,0.058827512,a_not
CDK18,0.28672533,2.15E-08,0.228012575,0.000391259,0.058712756,a_not
GCN1L1,0.547816936,3.31E-30,0.489105334,1.14E-21,0.058711602,a_not
PRDX6,0.420803019,3.17E-17,0.362125655,7.62E-13,0.058677364,a_not
PREX1,0.13164389,0.011478419,0.07300445,0.252045136,0.05863944,a_not
PTPN2,0.571969118,2.34E-33,0.513339271,1.74E-19,0.058629847,a_not
ANK3,0.252821329,8.95E-07,0.194211745,0.000527724,0.058609584,a_not
DOCK8,0.144401303,0.005516223,0.085795137,0.158228025,0.058606166,a_not
ACAT1,0.44012403,7.24E-19,0.381531332,3.38E-14,0.058592698,a_not
IFIT3,0.132847799,0.010738057,0.074313958,0.196302555,0.058533842,a_not
ANP32A,0.493130392,6.02E-24,0.434633561,2.17E-18,0.05849683,a_not
PRKD1,0.071864524,0.168917692,0.013374451,0.842216238,0.058490073,a_not
MTMR12,0.480742493,1.11E-22,0.422281579,3.83E-14,0.058460914,a_not
FAM115C,0.133747109,0.010212925,0.075369259,0.465493884,0.05837785,a_not
ACOT7,0.219240076,2.20E-05,0.160905835,0.002015595,0.058334241,a_not
UAP1L1,0.183199627,0.000411864,0.12488321,0.027158977,0.058316417,a_not
SPTLC2,0.453831268,4.26E-20,0.395579947,8.75E-15,0.058251321,a_not
KIAA1524,0.313576389,7.71E-10,0.255386071,4.55E-05,0.058190318,a_not
SPATS2L,0.209162895,5.26E-05,0.151036798,0.004870915,0.058126097,a_not
EXOC6,0.333470449,5.23E-11,0.275363859,3.42E-06,0.05810659,a_not
UBASH3B,0.24157396,2.76E-06,0.18348449,0.010642858,0.05808947,a_not
SEC16A,0.434119918,2.40E-18,0.376042575,9.24E-13,0.058077343,a_not
ATP2A3,0.089933113,0.084917544,0.031887088,0.58096144,0.058046025,a_not
PTGIS,0.103001662,0.048330975,0.044976239,0.443101425,0.058025423,a_not
TTC9,0.26714623,1.97E-07,0.209125964,0.003877792,0.058020266,a_not
UGDH,0.284209627,2.88E-08,0.226198846,1.18E-05,0.058010781,a_not
PPP1R14B,0.383518287,2.43E-14,0.325516245,6.96E-09,0.058002042,a_not
MMP19,-0.097005482,0.06303519,-0.15484867,0.129908574,0.057843188,a_not
SERF2,0.378086738,5.97E-14,0.320284395,9.27E-08,0.057802343,a_not
BPNT1,0.505265925,3.06E-25,0.447474738,2.02E-19,0.057791188,a_not
ASNA1,0.531595067,3.14E-28,0.473841142,6.12E-22,0.057753925,a_not
ZFHX3,0.181324947,0.000472994,0.123605269,0.084341982,0.057719679,a_not
EIF4E,0.42105465,3.02E-17,0.363344178,6.30E-13,0.057710471,a_not
ATP7B,0.272498709,1.09E-07,0.21480962,0.034606305,0.057689089,a_not
RAC3,0.337299068,3.05E-11,0.279621026,0.001390916,0.057678043,a_not
HPCAL1,0.181926574,0.000452514,0.124299139,0.018969554,0.057627435,a_not
CTNNAL1,0.360672367,9.54E-13,0.303047638,8.56E-07,0.057624729,a_not
CA1,0.085567737,0.101234827,0.027980833,0.613615947,0.057586904,a_not
PLAUR,0.191099062,0.000226483,0.13360879,0.025902981,0.057490272,a_not
FLNB,0.40194533,1.01E-15,0.344487395,1.08E-11,0.057457935,a_not
EPDR1,0.108109638,0.038179168,0.050672242,0.454586982,0.057437396,a_not
TGM1,0.121520783,0.019706464,0.06408703,0.481291555,0.057433753,a_not
LCLAT1,0.37884144,5.27E-14,0.321447295,4.22E-09,0.057394144,a_not
RAB3IL1,0.167310531,0.001275707,0.109936081,0.133130582,0.05737445,a_not
ERCC6,0.370175957,2.15E-13,0.31282835,6.82E-07,0.057347607,a_not
FARSB,0.378421265,5.65E-14,0.321121816,2.84E-10,0.057299448,a_not
FAS,0.192554074,0.000202326,0.135284677,0.021650763,0.057269398,a_not
MGST2,0.262654716,3.20E-07,0.205412209,0.000253534,0.057242506,a_not
FMNL2,0.21553649,3.05E-05,0.15844906,0.008603337,0.05708743,a_not
PTMS,0.262973511,3.09E-07,0.206070296,0.00050828,0.056903215,a_not
BAK1,0.313601,7.69E-10,0.256704353,0.000146403,0.056896647,a_not
TFRC,0.314701217,6.66E-10,0.25781958,5.33E-07,0.056881637,a_not
ALDH16A1,0.279351555,5.05E-08,0.222510974,1.65E-05,0.056840581,a_not
ZNF148,0.452771307,5.33E-20,0.395944754,7.19E-14,0.056826553,a_not
NQO1,0.194915285,0.000168188,0.138127467,0.009884578,0.056787818,a_not
CCDC88A,0.197277551,0.000139494,0.140498334,0.024286615,0.056779216,a_not
P4HA1,0.13858399,0.007760509,0.081870238,0.119967162,0.056713752,a_not
KIAA0319L,0.369234751,2.49E-13,0.312593434,2.40E-07,0.056641316,a_not
SLC35A3,0.326093022,1.45E-10,0.269485358,0.001392086,0.056607664,a_not
LZTFL1,0.404046259,6.96E-16,0.347463812,1.64E-11,0.056582447,a_not
LRRK1,0.226472367,1.15E-05,0.169915301,0.038958975,0.056557066,a_not
SDF2L1,0.374065933,1.15E-13,0.317547175,9.29E-10,0.056518758,a_not
HMGN2,0.388764054,1.00E-14,0.332273714,1.71E-10,0.05649034,a_not
TTC27,0.389067756,9.52E-15,0.332705642,1.66E-08,0.056362113,a_not
C19orf66,0.388718831,1.01E-14,0.332442879,5.72E-08,0.056275952,a_not
PLEC,0.384303091,2.13E-14,0.328056472,1.11E-10,0.056246619,a_not
TCF20,0.44950666,1.06E-19,0.393292066,7.98E-11,0.056214594,a_not
MYCBP2,0.397317826,2.29E-15,0.341136931,5.03E-10,0.056180895,a_not
IFIH1,0.107074923,0.040075426,0.050899999,0.387801031,0.056174924,a_not
GSTT2,0.198824038,0.000123269,0.142665332,0.015942708,0.056158706,a_not
CSPG4,0.07363391,0.158642468,0.017587902,0.776076615,0.056046008,a_not
